task,description,dept,status,assigned to
TEST-004 - Add collaboration test harness,"Priority: High Depends on: TEST-001,COLLAB-001 Definition of done: Collab tests can run service-level scenarios Docs: none Path: /apps/collab/tests",Testing,Done,
TEST-005 - Add web E2E framework setup,"Priority: Medium Depends on: TEST-001,WEB-001 Definition of done: Web E2E tests are configured Docs: none Path: /apps/web/tests",Testing,Not started,
TEST-006 - Add fixture factories,Priority: Medium Depends on: TEST-001 Definition of done: Fixture factories exist for tests and demos Docs: none Path: /packages/test-fixtures,Testing,Done,
TEST-007 - Refine CI test matrix,"Priority: Low Depends on: TEST-003,TEST-004,TEST-005 Definition of done: CI splits or optimizes tests appropriately Docs: change note Path: /.github/workflows",Testing,Not started,
OPS-001 - Add structured logger abstraction,"Priority: Medium Depends on: API-001 Definition of done: Shared logger abstraction exists and is used by services Docs: change note Path: /apps/api,/apps/collab,/apps/worker",Ops,Not started,
OPS-002 - Add request ID propagation,Priority: Medium Depends on: OPS-001 Definition of done: Request IDs flow through API request handling Docs: none Path: /apps/api,Ops,Not started,
OPS-003 - Add audit event schema,"Priority: Medium Depends on: API-013,DB-009 Definition of done: Audit schema is documented and implemented Docs: spec Path: /apps/api,/packages/shared-types",Ops,Not started,
OPS-004 - Add basic metrics list doc,Priority: Low Depends on: TASK-0001 Definition of done: Metrics spec exists for service owners Docs: spec Path: /docs/specs,Ops,Done,
OPS-005 - Add health and readiness endpoints,"Priority: Medium Depends on: API-002,COLLAB-001,WORK-001 Definition of done: All services expose health or readiness endpoints Docs: api doc Path: /apps",Ops,Done,
OPS-006 - Add rate-limit config placeholders,Priority: Low Depends on: API-003 Definition of done: Rate-limit config keys exist in env and config parsing Docs: none Path: /apps/api,Ops,Done,
